""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"D204"	"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D205"	"Ornithine Aminotransferase Deficiency (OAT Deficiency)"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D235"	"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D236"	"Hyperornithinemia with Gyrate Atrophy (HOGA)"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D237"	"Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome]"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D238"	"L-Arginine:Glycine Amidinotransferase Deficiency"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D29"	"Galactose Metabolism"	"HMDB0000169;HMDB0000211;HMDB0000131;HMDB0000660;HMDB0000122"	0.0381193028752993	0.680543258087612	5	36	0.586021505376344
"D113"	"Galactosemia"	"HMDB0000169;HMDB0000211;HMDB0000131;HMDB0000660;HMDB0000122"	0.0381193028752993	0.680543258087612	5	36	0.586021505376344
"D34"	"Purine Metabolism"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D102"	"Adenosine Deaminase Deficiency"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
